name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,더보기,5.0,2,5.0
인크커피 가산 플래그십 스토어,"그린티 에쏘라떼 맛은 있으나 6,200원에  종이컵? 사이즈입니다.이렇게 작은 사이즈인 줄 몰랐네요 ㅜㅜ더보기",2.0,31,2.5
인크커피 가산 플래그십 스토어,빵이 정말 맛있네요~~더보기,5.0,101,4.1
인크커피 가산 플래그십 스토어,"너무 멋진 공간과 진한 커피, 서비스, 깨끗한 화장실 모두 만족 합니다! 자주 갈거 같아요더보기",5.0,43,3.1
인크커피 가산 플래그십 스토어,"맛난 빵, 좋은 커피 인생커피 , 볕이 활짝 드는 자리 퇴근후 갈 커피집이 생겼네요더보기",5.0,3,2.3
인크커피 가산 플래그십 스토어,넓고 쾌적해서 혼자 카공하기에 좋아요 인테리어가 감각적이고 화장실까지 고급져요ㅋㅋ아메리카노는 산미가 강하며 베이커리는 평범합니다더보기,4.0,240,3.8
인크커피 가산 플래그십 스토어,더보기,4.0,94,4.2
인크커피 가산 플래그십 스토어,가산에 이런곳이!더보기,5.0,171,3.9
인크커피 가산 플래그십 스토어,"커피는 괜찮았고, 베이커리 무난했음. 4층 모두 테이블이 있는데주말이라 그런지 자리가 없어서 커피 사서 기다려야했음. 자리가 생각보다 많지 않으니 자리 먼저 맡아두고 커피주문하는거 추천함.더보기",4.0,116,3.0
인크커피 가산 플래그십 스토어,분위기는 좋지만 커피랑 빵 맛은 평범했음.바닐라라떼에 시럽을 엄청 탔는지 너무너무 달았음ㅜㅜ더보기,3.0,3,4.3
인크커피 가산 플래그십 스토어,더보기,2.0,381,3.9
인크커피 가산 플래그십 스토어,너무 이뻐서 힐링하고 갑니당~ 1234층 모두 구경하세요더보기,5.0,6,5.0
인크커피 가산 플래그십 스토어,더보기,5.0,206,3.3
인크커피 가산 플래그십 스토어,"커피는 괜찮았고, 베이커리 무난했음. 4층 모두 테이블이 있는데주말이라 그런지 자리가 없어서 커피 사서 기다려야했음. 자리가 생각보다 많지 않으니 자리 먼저 맡아두고 커피주문하는거 추천함.더보기",4.0,116,3.0
인크커피 가산 플래그십 스토어,분위기는 좋지만 커피랑 빵 맛은 평범했음.바닐라라떼에 시럽을 엄청 탔는지 너무너무 달았음ㅜㅜ더보기,3.0,3,4.3
인크커피 가산 플래그십 스토어,더보기,2.0,381,3.9
인크커피 가산 플래그십 스토어,너무 이뻐서 힐링하고 갑니당~ 1234층 모두 구경하세요더보기,5.0,6,5.0
인크커피 가산 플래그십 스토어,더보기,5.0,206,3.3
인크커피 가산 플래그십 스토어,커피 너무 맛있음 그리고 빵도 너무 맛있음!!!!!!!! 빵 다 쓸어오고싶다…!!!!!더보기,5.0,41,3.9
인크커피 가산 플래그십 스토어,가산에 이런곳이 생기다니커피 맛을 떠나 감사합니다 ㅠㅠ더보기,5.0,11,4.3
인크커피 가산 플래그십 스토어,"시그니처 메뉴 맛있어요. 깔루아밀크 싫어하는데도 인공적인 향이 안나서 맛있었어요.솔직히 빵과 케이크는 비추입니다. 그냥 커피랑 먹을 구움과자 정도만 주문해서 드세용.드립커피 맛있어요. 드립커피 마시고 1층에서 드립백이랑 티백, 원두 구매했습니다.좌석 간격이 넓은편이어서 사람없는 평일에는 방문하기 좋아요. 이야기든 공부든 집중이 잘돼요주말에 한 번 갔었는데 저는 평일에만 가겠습니다...ㅎㅎ접기",5.0,4,3.5
인크커피 가산 플래그십 스토어,빵 안 데워주시는 곳이라고 딱 잘라 말씀하셔서 좀 그랬네요ㅠ 공간은 괜찮아요 음료랑 빵도 맛있구여더보기,3.0,314,3.0
인크커피 가산 플래그십 스토어,이쁘고 좋고 커피맛 괜찮은데...카페인 약한분은 여기 녹차라떼 드시지 마시길...마실땐 진해서 좋앗는데커피보다 카페인이 많은거 같네요 ㅠ더보기,2.0,35,2.8
인크커피 가산 플래그십 스토어,커피 너무 맛있음 그리고 빵도 너무 맛있음!!!!!!!! 빵 다 쓸어오고싶다…!!!!!더보기,5.0,41,3.9
인크커피 가산 플래그십 스토어,가산에 이런곳이 생기다니커피 맛을 떠나 감사합니다 ㅠㅠ더보기,5.0,11,4.3
인크커피 가산 플래그십 스토어,"시그니처 메뉴 맛있어요. 깔루아밀크 싫어하는데도 인공적인 향이 안나서 맛있었어요.솔직히 빵과 케이크는 비추입니다. 그냥 커피랑 먹을 구움과자 정도만 주문해서 드세용.드립커피 맛있어요. 드립커피 마시고 1층에서 드립백이랑 티백, 원두 구매했습니다.좌석 간격이 넓은편이어서 사람없는 평일에는 방문하기 좋아요. 이야기든 공부든 집중이 잘돼요주말에 한 번 갔었는데 저는 평일에만 가겠습니다...ㅎㅎ접기",5.0,4,3.5
인크커피 가산 플래그십 스토어,빵 안 데워주시는 곳이라고 딱 잘라 말씀하셔서 좀 그랬네요ㅠ 공간은 괜찮아요 음료랑 빵도 맛있구여더보기,3.0,314,3.0
인크커피 가산 플래그십 스토어,이쁘고 좋고 커피맛 괜찮은데...카페인 약한분은 여기 녹차라떼 드시지 마시길...마실땐 진해서 좋앗는데커피보다 카페인이 많은거 같네요 ㅠ더보기,2.0,35,2.8
인크커피 가산 플래그십 스토어,커피 너무 맛있음 그리고 빵도 너무 맛있음!!!!!!!! 빵 다 쓸어오고싶다…!!!!!더보기,5.0,41,3.9
인크커피 가산 플래그십 스토어,가산에 이런곳이 생기다니커피 맛을 떠나 감사합니다 ㅠㅠ더보기,5.0,11,4.3
인크커피 가산 플래그십 스토어,"시그니처 메뉴 맛있어요. 깔루아밀크 싫어하는데도 인공적인 향이 안나서 맛있었어요.솔직히 빵과 케이크는 비추입니다. 그냥 커피랑 먹을 구움과자 정도만 주문해서 드세용.드립커피 맛있어요. 드립커피 마시고 1층에서 드립백이랑 티백, 원두 구매했습니다.좌석 간격이 넓은편이어서 사람없는 평일에는 방문하기 좋아요. 이야기든 공부든 집중이 잘돼요주말에 한 번 갔었는데 저는 평일에만 가겠습니다...ㅎㅎ접기",5.0,4,3.5
인크커피 가산 플래그십 스토어,빵 안 데워주시는 곳이라고 딱 잘라 말씀하셔서 좀 그랬네요ㅠ 공간은 괜찮아요 음료랑 빵도 맛있구여더보기,3.0,314,3.0
인크커피 가산 플래그십 스토어,이쁘고 좋고 커피맛 괜찮은데...카페인 약한분은 여기 녹차라떼 드시지 마시길...마실땐 진해서 좋앗는데커피보다 카페인이 많은거 같네요 ㅠ더보기,2.0,35,2.8
인크커피 가산 플래그십 스토어,공간이조아요더보기,5.0,23,4.8
인크커피 가산 플래그십 스토어,"가야는이유 : 서울 외곽에 있는 대형 베이커리카페 느낌이 있는 로스터리 카페안가는이유 : 커피보다 공간이 매력적드립,라떼 : 브루잉 원두가 다양하면서 가격이 괜찮, 기본적으로 맛이 강해서인지 라떼가 괜찮대형 로스터를 비롯 다양한 볼거리가 있고, 3층에는 스벅 리저브처럼 다양한 추출을 즐길수도, 자리는 많지만 사람도 많은접기",3.0,"3,532",3.3
인크커피 가산 플래그십 스토어,탈가디라는말이 무슨말인지 가게입구에서부터 확 와닿았습니다 커피가 진한느낌입니다 음료전반적으로 맛있고 토마토식빵은 잼이 너무 조금들어가있어 실망했습니다 흑임자롤 맛있어요더보기,4.0,457,3.2
인크커피 가산 플래그십 스토어,더보기,4.0,74,3.8
인크커피 가산 플래그십 스토어,오렌지자몽얼그레이케이크? 이거 ♪♩♪♪♪임 개맛있음더보기,5.0,6,1.7
인크커피 가산 플래그십 스토어,공간이조아요더보기,5.0,23,4.8
인크커피 가산 플래그십 스토어,"가야는이유 : 서울 외곽에 있는 대형 베이커리카페 느낌이 있는 로스터리 카페안가는이유 : 커피보다 공간이 매력적드립,라떼 : 브루잉 원두가 다양하면서 가격이 괜찮, 기본적으로 맛이 강해서인지 라떼가 괜찮대형 로스터를 비롯 다양한 볼거리가 있고, 3층에는 스벅 리저브처럼 다양한 추출을 즐길수도, 자리는 많지만 사람도 많은접기",3.0,"3,532",3.3
인크커피 가산 플래그십 스토어,탈가디라는말이 무슨말인지 가게입구에서부터 확 와닿았습니다 커피가 진한느낌입니다 음료전반적으로 맛있고 토마토식빵은 잼이 너무 조금들어가있어 실망했습니다 흑임자롤 맛있어요더보기,4.0,457,3.2
인크커피 가산 플래그십 스토어,더보기,4.0,74,3.8
인크커피 가산 플래그십 스토어,오렌지자몽얼그레이케이크? 이거 ♪♩♪♪♪임 개맛있음더보기,5.0,6,1.7
인크커피 가산 플래그십 스토어,이 근처에는 없는 느낌..맛있는데 커피가 많이 진했어요더보기,5.0,87,3.2
인크커피 가산 플래그십 스토어,트리가 있고 카페가 넓어서 좋아요! 레몬마들렌도 맛남더보기,5.0,217,4.5
인크커피 가산 플래그십 스토어,다른 후기들처럼 정말 탈가산 바이브!커피랑 베이커리맛은 평범~ 맛있다인데 공간도 4층까지 여러 테마로 있고 매우 넓고 화장실도 좋음더보기,5.0,12,4.1
인크커피 가산 플래그십 스토어,더보기,5.0,23,4.6
